,id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,photos,status,status_changed_at,published_at,distance,contact,_links
0,47054086,KY51,https://www.petfinder.com/dog/rosco-47054086/ky/russellville/logan-county-humane-society-ky51/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Rottweiler', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': 'Black', 'secondary': 'Brown / Chocolate', 'tertiary': None}",Adult,Male,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}",[],rosco,"Please go to our website at www.logancohumane.com to fill out an adoption application or you can visit us at:

Logan...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/1/?bust=1578452810&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/1/?bust=1578452810&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/1/?bust=1578452810&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/1/?bust=1578452810'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/2/?bust=1578452825&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/2/?bust=1578452825&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/2/?bust=1578452825&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/2/?bust=1578452825'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/3/?bust=1578452839&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/3/?bust=1578452839&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/3/?bust=1578452839&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054086/3/?bust=1578452839'}]",adoptable,2020-01-08T03:07:41+0000,2020-01-08T03:07:41+0000,,"{'email': 'adoptlcpets@gmail.com', 'phone': '(270) 726-2186', 'address': {'address1': '1230 Morgantown Road', 'address2': 'PO Box  1001', 'city': 'Russellville', 'state': 'KY', 'postcode': '42276', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054086'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ky51'}}"
1,47054009,BC254,https://www.petfinder.com/dog/poneh-47054009/bc/langley/loved-at-last-dog-rescue-bc254/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'English Shepherd', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': 'Red / Chestnut / Orange', 'secondary': 'White / Cream', 'tertiary': None}",Young,Female,Medium,Medium,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': None}",[],poneh,"Poneh
Breed: English Shepherd Mix
Age: 1 yr
Gender: Female, spayed
Wgt/Hgt: 44 lbs / 22 inches
Energy level: Moderate...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/1/?bust=1578452365&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/1/?bust=1578452365&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/1/?bust=1578452365&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/1/?bust=1578452365'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/2/?bust=1578452447&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/2/?bust=1578452447&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/2/?bust=1578452447&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/2/?bust=1578452447'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/3/?bust=1578452497&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/3/?bust=1578452497&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/3/?bust=1578452497&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/3/?bust=1578452497'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/4/?bust=1578452504&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/4/?bust=1578452504&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/4/?bust=1578452504&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/4/?bust=1578452504'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/5/?bust=1578452509&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/5/?bust=1578452509&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/5/?bust=1578452509&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054009/5/?bust=1578452509'}]",adoptable,2020-01-08T03:07:24+0000,2020-01-08T03:07:24+0000,,"{'email': 'dogs.laldr@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Langley', 'state': 'BC', 'postcode': 'V4W 1M6', 'country': 'CA'}}","{'self': {'href': '/v2/animals/47054009'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/bc254'}}"
2,47054128,MN423,https://www.petfinder.com/dog/marlie-47054128/mn/golden-valley/animal-humane-society-golden-valley-mn423/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Spaniel', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Medium,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],marlie,,[],adoptable,2020-01-08T03:06:19+0000,2020-01-08T03:06:19+0000,,"{'email': 'info@animalhumanesociety.org', 'phone': '(763) 489-2201', 'address': {'address1': '845 Meadow Lane N', 'address2': None, 'city': 'Golden Valley', 'state': 'MN', 'postcode': '55422', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054128'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/mn423'}}"
3,47054071,TN627,https://www.petfinder.com/dog/cupid-courtesy-post-47054071/tn/goodlettsville/keelys-friends-dog-rescue-tn627/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': 'Miniature Pinscher', 'mixed': True, 'unknown': False}","{'primary': 'Bicolor', 'secondary': None, 'tertiary': None}",Senior,Male,Small,Short,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': None}",[],cupid (courtesy post),Meet Cupid! He is 11 years young! He is neutered and up to date with shots. Here is unfortunately looking...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054071/1/?bust=1578452451&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054071/1/?bust=1578452451&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054071/1/?bust=1578452451&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47054071/1/?bust=1578452451'}]",adoptable,2020-01-08T03:06:19+0000,2020-01-08T03:06:19+0000,,"{'email': 'cathysewell1123@outlook.com', 'phone': '(615) 456-8995', 'address': {'address1': None, 'address2': None, 'city': 'Goodlettsville', 'state': 'TN', 'postcode': '37072', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054071'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tn627'}}"
4,47054122,TX1950,https://www.petfinder.com/dog/max-47054122/tx/houston/houston-pets-alive-tx1950/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Plott Hound', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],max,Max is absolutely the sweetest dog. He is a strong dog but gentle. He just wants to be with people...,[],adoptable,2020-01-08T03:06:18+0000,2020-01-08T03:06:18+0000,,"{'email': 'adopt@houstonpetsalive.org', 'phone': '(832) 786-9310', 'address': {'address1': None, 'address2': None, 'city': 'Houston', 'state': 'TX', 'postcode': '77092', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054122'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx1950'}}"
5,47054111,CA701,https://www.petfinder.com/dog/cain-47054111/ca/santa-maria/santa-maria-valley-humane-society-ca701/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Great Pyrenees', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Extra Large,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],cain,,[],adoptable,2020-01-08T03:06:17+0000,2020-01-08T03:06:17+0000,,"{'email': 'adoptions@smvhs.org', 'phone': '(805) 349-3435', 'address': {'address1': '1687 W Stowell Rd', 'address2': None, 'city': 'Santa Maria', 'state': 'CA', 'postcode': '93458', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054111'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ca701'}}"
6,47054112,CA701,https://www.petfinder.com/dog/edison-47054112/ca/santa-maria/santa-maria-valley-humane-society-ca701/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'German Shepherd Dog', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Large,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],edison,,[],adoptable,2020-01-08T03:06:17+0000,2020-01-08T03:06:17+0000,,"{'email': 'adoptions@smvhs.org', 'phone': '(805) 349-3435', 'address': {'address1': '1687 W Stowell Rd', 'address2': None, 'city': 'Santa Maria', 'state': 'CA', 'postcode': '93458', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054112'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ca701'}}"
7,47054113,CA701,https://www.petfinder.com/dog/tesla-47054113/ca/santa-maria/santa-maria-valley-humane-society-ca701/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Doberman Pinscher', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Female,Large,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': True, 'dogs': True, 'cats': True}",[],tesla,,[],adoptable,2020-01-08T03:06:17+0000,2020-01-08T03:06:17+0000,,"{'email': 'adoptions@smvhs.org', 'phone': '(805) 349-3435', 'address': {'address1': '1687 W Stowell Rd', 'address2': None, 'city': 'Santa Maria', 'state': 'CA', 'postcode': '93458', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054113'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ca701'}}"
8,47054114,CA701,https://www.petfinder.com/dog/abel-47054114/ca/santa-maria/santa-maria-valley-humane-society-ca701/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Chihuahua', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Small,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],abel,,[],adoptable,2020-01-08T03:06:17+0000,2020-01-08T03:06:17+0000,,"{'email': 'adoptions@smvhs.org', 'phone': '(805) 349-3435', 'address': {'address1': '1687 W Stowell Rd', 'address2': None, 'city': 'Santa Maria', 'state': 'CA', 'postcode': '93458', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054114'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ca701'}}"
9,47054115,CA701,https://www.petfinder.com/dog/pepper-47054115/ca/santa-maria/santa-maria-valley-humane-society-ca701/?referrer_id=6f25b89d-d20b-416b-95e8-c6d156528f1b,Dog,Dog,"{'primary': 'Bichon Frise', 'secondary': 'Poodle', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': False, 'house_trained': True, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': True, 'dogs': True, 'cats': True}",[],pepper,,[],adoptable,2020-01-08T03:06:17+0000,2020-01-08T03:06:17+0000,,"{'email': 'adoptions@smvhs.org', 'phone': '(805) 349-3435', 'address': {'address1': '1687 W Stowell Rd', 'address2': None, 'city': 'Santa Maria', 'state': 'CA', 'postcode': '93458', 'country': 'US'}}","{'self': {'href': '/v2/animals/47054115'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/ca701'}}"
