PRIMARY ID,BREED,COLOR OF DOG,,,,,,,,
47072487,Siberian,None,,,,,,,,
47072473,Jack,Brown,,,,,,,,
47072474,Shih,White,,,,,,,,
47072469,Cocker,Black,,,,,,,,
47072434,Goldendoodle,None,,,,,,,,
47072460,Spaniel,White,,,,,,,,
47072459,Treeing,None,,,,,,,,
47072432,Beagle,Tricolor,,,,,,,,
47072466,Dogue,None,,,,,,,,
47072395,Husky,Bicolor,,,,,,,,
47072458,Pit,None,,,,,,,,
47072445,Australian,None,,,,,,,,
47072450,Poodle,None,,,,,,,,
47072455,Greyhound,None,,,,,,,,
47072452,Labrador,None,,,,,,,,
47072442,Shetland,None,,,,,,,,
47072456,Rottweiler,None,,,,,,,,
47072443,Australian,None,,,,,,,,
47072449,Catahoula,None,,,,,,,,
47072453,Shar-Pei,None,,,,,,,,
47072439,Staffordshire,None,,,,,,,,
47072456,Rottweiler,None,,,,,,,,
47072443,Australian,None,,,,,,,,
47072411,Terrier,White,,,,,,,,
47072049,Shih,White,,,,,,,,
47072409,Goldendoodle,None,,,,,,,,
47072229,Siberian,Gray,,,,,,,,
47072431,Pit,None,,,,,,,,
47072421,Miniature,None,,,,,,,,
47072400,English,Black,,,,,,,,
47072418,Mixed,None,,,,,,,,
47072419,Mixed,None,,,,,,,,
47072414,Mixed,None,,,,,,,,
47072416,Mixed,None,,,,,,,,
47072417,Mixed,None,,,,,,,,
47072415,Mixed,None,,,,,,,,
47072410,Labrador,None,,,,,,,,
47072406,Chihuahua,None,,,,,,,,
47072405,Terrier,None,,,,,,,,
47072403,German,None,,,,,,,,
47072404,Mastiff,None,,,,,,,,
47072238,Bernese,None,,,,,,,,
47072215,Border,None,,,,,,,,
47072391,Pit,Yellow,,,,,,,,
47072392,Terrier,Brown,,,,,,,,
47072387,Terrier,Apricot,,,,,,,,
47072247,Vizsla,None,,,,,,,,
47072214,Great,Bicolor,,,,,,,,
47072246,Terrier,None,,,,,,,,
47072239,Brussels,None,,,,,,,,
47072381,Siberian,None,,,,,,,,
47072382,Siberian,None,,,,,,,,
47072383,Shiba,None,,,,,,,,
47072380,Pit,None,,,,,,,,
47072378,Pit,None,,,,,,,,
47072379,Pit,None,,,,,,,,
47072375,Parson,None,,,,,,,,
47072376,Husky,None,,,,,,,,
47072364,German,None,,,,,,,,
47072367,Labrador,None,,,,,,,,
47072365,German,None,,,,,,,,
47072364,German,None,,,,,,,,
47072367,Labrador,None,,,,,,,,
47072362,Bluetick,None,,,,,,,,
47072361,Doberman,None,,,,,,,,
47072358,Parson,None,,,,,,,,
47072359,Yorkshire,None,,,,,,,,
47072360,Labrador,None,,,,,,,,
47072355,Shih,None,,,,,,,,
47072356,Pit,None,,,,,,,,
47072357,Pit,None,,,,,,,,
47072348,Chihuahua,None,,,,,,,,
47072241,Pit,Brown,,,,,,,,
47072332,Pit,None,,,,,,,,
47072331,Pit,None,,,,,,,,
47072333,Shih,None,,,,,,,,
47072340,Chihuahua,None,,,,,,,,
47072330,Black,None,,,,,,,,
47072329,Pit,None,,,,,,,,
47072322,Chihuahua,None,,,,,,,,
47072325,Labrador,None,,,,,,,,
47072323,Siberian,None,,,,,,,,
47072324,Mixed,None,,,,,,,,
47072319,Labrador,None,,,,,,,,
47072321,Boxer,None,,,,,,,,
47072293,Chihuahua,None,,,,,,,,
47072306,Pomeranian,None,,,,,,,,
47072294,Chihuahua,None,,,,,,,,
47072298,Chihuahua,None,,,,,,,,
47072300,German,None,,,,,,,,
47072295,Pit,None,,,,,,,,
47072299,Pit,None,,,,,,,,
47072292,German,None,,,,,,,,
47072302,Cairn,None,,,,,,,,
47072301,Pit,None,,,,,,,,
47072297,Chihuahua,None,,,,,,,,
47072296,Siberian,None,,,,,,,,
47072303,German,None,,,,,,,,
47072312,Pomeranian,None,,,,,,,,
47072288,Labrador,None,,,,,,,,
47072288,Labrador,None,,,,,,,,
47072287,Labrador,None,,,,,,,,
47072285,Labrador,None,,,,,,,,
47072283,Boxer,None,,,,,,,,
47072284,Labrador,None,,,,,,,,
47072282,Labrador,None,,,,,,,,
47072279,Maltese,None,,,,,,,,
47072278,Dachshund,None,,,,,,,,
47072274,Shiba,None,,,,,,,,
47072275,Pit,None,,,,,,,,
47072273,Labrador,None,,,,,,,,
47072270,Mixed,None,,,,,,,,
47072262,Mastiff,None,,,,,,,,
47072264,German,None,,,,,,,,
