,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,breeds,colors,primary,secondary,tertiary,status
0,0,0,0,0,0,"{'primary': 'Siberian Husky', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
1,1,1,1,1,1,"{'primary': 'Jack Russell Terrier', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Brown / Chocolate', 'secondary': 'White / Cream', 'tertiary': None}",Brown  Chocolate,"['White ', ' Cream']",,not_adopted
2,2,2,2,2,2,"{'primary': 'Shih Tzu', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'White / Cream', 'secondary': None, 'tertiary': None}",White  Cream,,,not_adopted
3,3,3,3,3,3,"{'primary': 'Cocker Spaniel', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': 'Yellow / Tan / Blond / Fawn', 'tertiary': None}",Black,"['Yellow ', ' Tan ', ' Blond ', ' Fawn']",,not_adopted
4,4,4,4,4,4,"{'primary': 'Goldendoodle', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
5,5,5,5,5,5,"{'primary': 'Spaniel', 'secondary': 'Pointer', 'mixed': True, 'unknown': False}","{'primary': 'White / Cream', 'secondary': 'Yellow / Tan / Blond / Fawn', 'tertiary': None}",White  Cream,"['Yellow ', ' Tan ', ' Blond ', ' Fawn']",,not_adopted
6,6,6,6,6,6,"{'primary': 'Treeing Walker Coonhound', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
7,7,7,7,7,7,"{'primary': 'Beagle', 'secondary': 'Jack Russell Terrier', 'mixed': True, 'unknown': False}","{'primary': 'Tricolor (Brown, Black, & White)', 'secondary': None, 'tertiary': None}","Tricolor (Brown, Black, & White)",,,adopted
8,8,8,8,8,8,"{'primary': 'Dogue de Bordeaux', 'secondary': 'Mixed Breed', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
9,9,9,9,9,9,"{'primary': 'Husky', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Bicolor', 'secondary': 'Harlequin', 'tertiary': 'White / Cream'}",Bicolor,['Harlequin'],"['White ', ' Cream']",not_adopted
10,10,10,10,10,10,"{'primary': 'Pit Bull Terrier', 'secondary': 'Australian Cattle Dog / Blue Heeler', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
11,11,11,11,11,11,"{'primary': 'Australian Cattle Dog / Blue Heeler', 'secondary': 'Black Mouth Cur', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
12,12,12,12,12,12,"{'primary': 'Poodle', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
13,13,13,13,13,13,"{'primary': 'Greyhound', 'secondary': 'Boxer', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
14,14,14,14,14,14,"{'primary': 'Labrador Retriever', 'secondary': 'Border Collie', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
15,15,15,15,15,15,"{'primary': 'Shetland Sheepdog / Sheltie', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",,,,not_adopted
